country,country_code,2010,2012,2014,2016,2018,2020
"Latin America & Caribbean","LCN",18,17,17,16,15,15
"Least developed countries: UN classification","LDC",34,34,33,32,32,31
"Low income","LIC",38,38,37,36,35,34
"Liechtenstein","LIE",9,9,10,10,9,9
"Sri Lanka","LKA",17,17,16,15,14,14
"Lower middle income","LMC",24,23,23,22,21,20
"Low & middle income","LMY",21,22,21,20,19,18
"Lesotho","LSO",28,29,28,28,27,26
"Late-demographic dividend","LTE",13,14,14,13,11,10
"Lithuania","LTU",9,10,10,10,10,9
"Luxembourg","LUX",11,11,10,10,10,10
"Latvia","LVA",9,9,10,11,10,9
"Macao SAR, China","MAC",9,11,11,11,10,10
"St. Martin (French part)","MAF",18,20,19,17,17,15
"Morocco","MAR",21,21,20,19,18,17
"Monaco","MCO",,,,7,5,
"Moldova","MDA",14,13,14,14,13,12
"Madagascar","MDG",36,34,33,32,32,31
"Maldives","MDV",21,19,18,16,15,14
"Middle East & North Africa","MEA",24,24,24,23,21,20
"Mexico","MEX",20,19,18,17,16,15
"Marshall Islands","MHL",,,,,,
"Middle income","MIC",19,20,19,19,17,16
"North Macedonia","MKD",11,11,11,11,10,9
"Mali","MLI",46,45,44,43,42,41
"Malta","MLT",9,9,9,9,9,8
"Myanmar","MMR",19,18,18,18,17,17
"Middle East & North Africa (excluding high income)","MNA",25,25,25,23,22,21
"Montenegro","MNE",12,12,12,12,11,11
"Mongolia","MNG",23,25,26,25,23,22
"Northern Mariana Islands","MNP",,,20,,,
"Mozambique","MOZ",42,41,39,38,37,36
"Mauritania","MRT",36,36,35,34,34,33
"Mauritius","MUS",12,11,10,10,10,10
"Malawi","MWI",40,38,36,34,33,33
"Malaysia","MYS",17,17,17,16,15,15
"North America","NAC",12,12,12,12,11,10
"Namibia","NAM",30,31,30,30,29,27
"New Caledonia","NCL",16,16,16,15,15,14
"Niger","NER",48,47,46,46,46,45
"Nigeria","NGA",42,41,40,39,38,37
"Nicaragua","NIC",24,23,23,22,21,20
"Netherlands","NLD",11,10,10,10,9,9
"Norway","NOR",12,12,11,11,10,9
"Nepal","NPL",22,22,22,21,21,20
"Nauru","NRU",,,,,,
"New Zealand","NZL",14,13,12,12,11,11
"OECD members","OED",12,12,12,11,11,10
"Oman","OMN",23,21,21,20,19,18
"Other small states","OSS",25,25,24,23,22,21
"Pakistan","PAK",32,31,30,29,28,27
"Panama","PAN",21,21,20,19,18,17
"Peru","PER",21,20,19,18,18,17
"Philippines","PHL",25,24,23,22,22,22
"Palau","PLW",11,15,13,12,14,11
"Papua New Guinea","PNG",30,29,28,27,26,25
"Poland","POL",10,10,9,10,10,9
"Pre-demographic dividend","PRE",41,40,39,38,37,36
"Puerto Rico","PRI",11,10,9,8,6,5
"Korea, Dem. People's Rep.","PRK",12,12,13,13,13,13
"Portugal","PRT",9,8,7,8,8,8
"Paraguay","PRY",22,22,22,22,21,20
"West Bank and Gaza","PSE",33,32,32,31,30,28
"Pacific island small states","PSS",27,27,27,26,25,25
"Post-demographic dividend","PST",11,10,10,10,9,9
"French Polynesia","PYF",17,16,15,14,13,12
"Qatar","QAT",10,11,10,10,10,10
"Romania","ROU",10,10,10,10,10,9
"Russian Federation","RUS",12,13,13,12,10,9
"Rwanda","RWA",34,32,32,31,31,30
"South Asia","SAS",22,22,20,20,19,18
"Saudi Arabia","SAU",21,21,20,18,18,18
"Sudan","SDN",37,36,36,36,35,34
"Senegal","SEN",37,37,36,34,33,33
